Prueba,Fecha,Observadora,Hora,Tipo de Bosque,Point,Tratamiento,Grabación,Temperatura,Speaker Direction,Other Notes
1,9-Jun-23,CAH/GX,653,VA,VA2,PLCO5,1_VA_PLCO5_ZOOM0008,23.5,,
2,9-Jun-23,CAH/GX,710,VA,VA3,MSF5,2_VA_MSF5_ZOOM0009,24,,
3,21-Jul-23,CAH,6:45,VA,VA20,HARU2,3_VA_HARU2_ZOOM0047,20,148,"misty morning, drops, REDID"
4,9-Jun-23,CAH/GX,830,VA,VA21,NF3,4_VA_NF3_ZOOM0013,25,,
5,11-Jun-23,CAH,6:30,VA,VA19,CTRL1,5_VA_VA1_ZOOM0027,31,,
6,11-Jun-23,CAH,6:48,VA,VA18,HEGR4,6_VA_HEGR4_ZOOM0028,31,,
7,11-Jun-23,CAH,7:14,VA,VA17,MSF1,7_VA_MSF1_ZOOM0030,31,,
8,11-Jun-23,CAH,7:33,VA,VA16,TUOC3,8_VA_TUOC3_ZOOM0031,31,,
9,11-Jun-23,CAH,7:58,VA,VA15,NF1,9_VA_NF1_ZOOM0032,31,,
10,16-Jun-23,CAH,7:26,VA,VA22,CTRL5,10_VA_VA5_ZOOM0020,17,,
11,16-Jun-23,CAH,8:17,VA,VA24,MSF2,11_VA_MSF2_ZOOM0022,17,,
12,17-Jun-23,CAH,6:49,VA,VA26,CTRL4,12_VA_CTRL4_ZOOM0046,18,,
13,17-Jun-23,CAH,7:11,VA,VA27,MYLO1,13_VA_MYLO1_ZOOM0047,18,,
14,17-Jun-23,CAH,7:45,VA,VA25,NF2,14_VA_NF2_ZOOM0048,18,,
15,17-Jun-23,CAH,8:07,VA,VA28,LAHY7,15_VA_LAHY7_ZOOM0049,18,,
16,17-Jun-23,CAH,8:24,VA,VA29,NF5,16_VA_NF5_ZOOM0050,18,,Cat or some animal at 3:25ish
17,19-Jun-23,CAH,6:33,VA,VA7,MSF4,17_VA_MSF4_ZOOM0072,19,,
18,19-Jun-23,CAH,6:52,VA,VA8,MYSC8,18_VA_MYSC8_ZOOM0073,18,,
19,19-Jun-23,CAH,7:19,VA,VA9,LECO2,19_VA_LECO2_ZOOM0074,19,,
20,19-Jun-23,CAH,7:36,VA,VA10,CTRL3,20_VA_CTRL3_ZOOM0075,19,,
21,19-Jun-23,CAH,8:20,VA,VA3,CTRL2,21_VA_CTRL2_ZOOM0076,20,,
22,19-Jul-23,CAH,6:33,VA,VA29,MSF3,22_VA_MSF3_ZOOM0035,20,135,REDID 
23,4-Aug-23,CAH,7:15,VA,VA28,THAR7,23_VA_THAR7_ZOOM0102,23,227,REDID
24,7-Jul-23,CAH,8:24,VA,VA26,MOMO8,24_VA_MOMO8_ZOOM0077,25,,REDID 7JUL23
25,7-Jul-23,CAH,8:03,VA,VA25,MSF4,25_VA_MSF4_ZOOM0076,24,,REDID 7JUL23
26,23-Jun-23,CAH/GX,6:35,VA,VA15,CTRL4,26_VA_CTRL4_ZOOM0102,23,,"MYAX passed through, tried THAR PB after trial completed and no response"
27,23-Jun-23,CAH/GX,7:02,VA,VA17,PLCO6,27_VA_PLCO6_ZOOM0103,22,,
28,24-Jul-23,GX,8:05,VA,VA18,MYLO4,28_VA_MYLO4_ZOOM0217,25.6,300,
29,23-Jun-23,CAH/GX,7:42,VA,VA16,NF1,29_VA_NF1_ZOOM0105,22,,
30,23-Jun-23,CAH/GX,8:19,VA,VA19,NF4,30_VA_NF4_ZOOM0106,23,,
31,26-Jun-23,CAH/GX,7:13,VA,VA10,MOMO1,31_VA_MOMO1_ZOOM0112,24,,"Flock roost at this point, ~75-80m away by time trial was conducted"
32,26-Jun-23,CAH/GX,7:37,VA,VA9,THAR3,32_VA_THAR3_ZOOM0113,24,,"canopy flock seemed to be attracting a lot of the birds, as the flock left so did the birds"
33,26-Jun-23,CAH/GX,7:56,VA,VA8,MSF1,33_VA_MSF1_ZOOM0114,24,,
34,26-Jun-23,CAH/GX,8:15,VA,VA7,NF5,34_VA_NF5_ZOOM0115,25,,Screaming Pihas make it very difficult to hear any quiet chatter around
35,29-Jun-23,CAH/GX,7:55,VA,VA20,CTRL2,35_VA_CTRL2_ZOOM0123,24,190,
36,29-Jun-23,CAH/GX,8:20,VA,VA22,HARU7,36_VA_HARU7_ZOOM0124,24,,
37,30-Jun-23,CAH/GX,6:34,VA,VA24,CTRL5,37_VA_CTRL5_ZOOM0125,26.3,250,
38,30-Jun-23,CAH/GX,7:03,VA,VA21,MSF2,38_VA_MSF2_ZOOM0126,24.7,126,
39,30-Jun-23,CAH/GX,7:33,VA,VA2,NF4,39_VA_NF4_ZOOM0127,26,0,
40,30-Jun-23,CAH/GX,7:54,VA,VA3,LECO3,40_VA_LECO3_ZOOM0128,23.1,20,
41,30-Jun-23,CAH/GX,8:18,VA,VA19,LAHY4,41_VA_LAHY4_ZOOM0129,25.4,320,
42,3-Jul-23,CAH,6:31,VA,VA4,TUOC6,42_VA_TUOC6_ZOOM0050,21,8,
43,3-Jul-23,GX,6:57,VA,VA29,CTRL3,43_VA_CTRL3_ZOOM0135,25,2,
44,3-Jul-23,CAH,7:13,VA,VA15,MYSC6,44_VA_MYSC6_ZOOM0052,22,78,
45,3-Jul-23,GX,7:21,VA,VA28,MSF3,45_VA_MSF3_ZOOM0136,23.1,360,
46,3-Jul-23,CAH,7:43,VA,VA18,CTRL1,46_VA_CTRL1_ZOOM0054,22,260,
47,3-Jul-23,GX,7:52,VA,VA26,NF3,47_VA_NF3_ZOOM0137,24.9,300,
