Prueba,Fecha,Observadora,Hora,Tipo de Bosque,Point,Tratamiento,Grabación,Temperatura,Speaker Direction,Other Notes,,,Agrabacion Syntax
1,8-Jun-23,CAH/GX,632,TF,TF1,MSF5,1_TF_MSF5_ZOOM0002,23.5,,,,,Numero de prueba_tipo de bosque_cual tratamiento_numbero de agrabacion de zoom
2,8-Jun-23,CAH/GX,7:50,TF,TF32,NF3,2_TF_NF3_ZOOM0003,24,,30 mins after rain,,,
3,8-Jun-23,CAH/GX,8:19,TF,TF31,CTRL1,3_TF_TF1_ZOOM0004,24,,,,,
4,8-Jun-23,CAH/GX,8:45,TF,TF30,HARU2,4_TF_HARU2_ZOOM0005,24,,,,,
5,10-Jun-23,CAH,6:37,TF,TF4,PLCO5,5_TF_PLCO5_ZOOM0022,30,,,,,
6,10-Jun-23,CAH,7:50,TF,TF3,HEGR4,6_TF_HEGR4_ZOOM0024,31,,30 mins after rain,,,
7,10-Jun-23,CAH,8:11,TF,TF2,MSF1,7_TF_MSF1_ZOOM0025,31,,,,,
8,12-Jun-23,CAH/GX,6:45,TF,TF8,TUOC3,8_TF_TUOC3_ZOOM0034,31,,,,,
9,12-Jun-23,CAH/GX,7:10,TF,TF11,NF1,9_TF_NF1_ZOOM0035,31,,,,,
10,12-Jun-23,CAH/GX,7:42,TF,TF13,CTRL5,10_TF_TF5_ZOOM0036,31,,,,,
11,12-Jun-23,CAH/GX,8:03,TF,TF14,MSF2,11_TF_MSF2_ZOOM0037,31,,windy,,,
12,12-Jun-23,CAH/GX,8:22,TF,TF15,CTRL4,12_TF_TF4_ZOOM0038,31,,windy,,,
13,18-Jun-23,CAH/GX,6:30,TF,TF29,MYLO1,13_TF_MYLO1_ZOOM0058,16,,,,,
14,18-Jun-23,CAH/GX,6:56,TF,TF27,LAHY7,14_TF_LAHY7_ZOOM0059,17,,,,,
15,18-Jun-23,CAH/GX,7:18,TF,TF28,NF2,15_TF_NF2_ZOOM0060,17,,,,,
16,18-Jun-23,CAH/GX,7:49,TF,TF21,NF5,16_TF_NF5_ZOOM0061,18,,,,,
17,18-Jun-23,CAH/GX,8:16,TF,TF20,MYSC8,17_TF_MYSC8_ZOOM0062,19,,,,,
18,18-Jun-23,CAH/GX,8:27,TF,TF19,LECO2,18_TF_LECO2_ZOOM0063,18,,,,,
19,20-Jun-23,CAH/GX,6:41,TF,TF9,CTRL3,19_TF_CTRL3_ZOOM0084,20,,,,,
20,20-Jun-23,CAH/GX,7:05,TF,TF12,CTRL2,20_TF_CTRL2_ZOOM0085,20,,,,,
21,20-Jun-23,CAH/GX,7:31,TF,TF14,THAR6,21_TF_THAR6_ZOOM0086,19,,,,,
22,20-Jun-23,CAH/GX,7:50,TF,TF22,MSF3,22_TF_MSF3_ZOOM0087,20,,,,,
23,20-Jun-23,CAH/GX,8:16,TF,TF13,MOMO8,23_TF_MOMO8_ZOOM0088,20,,,,,
24,22-Jun-23,CAH/GX,6:31,TF,TF27,NF4,24_TF_NF4_ZOOM0096,21,,,,,
25,22-Jun-23,CAH/GX,6:55,TF,TF28,MSF4,25_TF_MSF4_ZOOM0097,21,,,,,
26,22-Jun-23,CAH/GX,7:17,TF,TF29,NF1,26_TF_NF1_ZOOM0098,21,,,,,
27,22-Jun-23,CAH/GX,7:50,TF,TF31,MYLO4,27_TF_MYLO4_ZOOM0099,22,,,,,
28,22-Jun-23,CAH/GX,8:11,TF,TF32,PLCO6,28_TF_PLCO6_ZOOM0100,23,,,,,
29,25-Jun-23,CAH/GX,7:01,TF,TF30,CTRL4,29_TF_CTRL4_ZOOM0107,26,,,,,
30,25-Jun-23,CAH/GX,7:30,TF,TF1,MOMO1,30_TF_MOMO1_ZOOM0108,24,,,,,
31,25-Jun-23,CAH/GX,7:52,TF,TF2,THAR3,31_TF_THAR3_ZOOM0109,24,,,,,
32,25-Jun-23,CAH/GX,8:10,TF,TF3,MSF1,32_TF_MSF1_ZOOM0110,25,,,,,
33,25-Jun-23,CAH/GX,8:30,TF,TF4,NF5,33_TF_NF5_ZOOM0111,25,,,,,
34,31-Jul-23,CAH,7:34,TF,TF12,HARU7,34_TF_HARU7_ZOOM0086,20,90,,,,
