"Trial","Point","Treatment","Exemplar","Stage","Spp","ID","Distance"
1,"TF1","MSF","MSF5","PRE","MYMYO","MYMYO1",35
1,"TF1","MSF","MSF5","PRE","MYMYO","MYMYO2",35
1,"TF1","MSF","MSF5","PRE","MYMYO","MYMYO3",30
1,"TF1","MSF","MSF5","PRE","MYLOP","MYLOP1",30
1,"TF1","MSF","MSF5","PRE","TRCUR","TRCUR1",60
1,"TF1","MSF","MSF5","PRE","UKCAN","UKCAN1",20
1,"TF1","MSF","MSF5","PRE","UKCAN","UKCAN2",15
1,"TF1","MSF","MSF5","POST","CECIN","CECIN1",20
1,"TF1","MSF","MSF5","POST","MYMYO","MYMYO1",30
1,"TF1","MSF","MSF5","POST","MYMYO","MYMYO3",20
1,"TF1","MSF","MSF5","POST","CESER","CESER1",30
1,"TF1","MSF","MSF5","POST","MYMYO","MYMYO2",30
1,"TF1","MSF","MSF5","POST","MYLOP","MYLOP1",30
1,"TF1","MSF","MSF5","POST","MIMAR","MIMAR1",50
1,"TF1","MSF","MSF5","POST","UKCAN","UKCAN1",20
2,"TF32","NF","NF3","PRE","PHHIS","PHHIS1",30
2,"TF32","NF","NF3","PRE","TRCUR","TRCUR1",80
2,"TF32","NF","NF3","PRE","TRCUR","TRCUR2",70
2,"TF32","NF","NF3","PRE","MYGAI","MYGAI1",30
2,"TF32","NF","NF3","PRE","PAHYP","PAHYP1",60
2,"TF32","NF","NF3","POST","LECOR","LECOR2",30
2,"TF32","NF","NF3","POST","MYGAI","MYGAI1",20
2,"TF32","NF","NF3","POST","LECOR","LECOR1",0
2,"TF32","NF","NF3","POST","HARUB","HARUB1",15
3,"TF31","CTRL","CTRL1","PRE","NECIN","NECIN1",25
3,"TF31","CTRL","CTRL1","PRE","LAHYP","LAHYP1",70
3,"TF31","CTRL","CTRL1","PRE","TEERY","TEERY1",20
3,"TF31","CTRL","CTRL1","PRE","TEERY","TEERY2",20
3,"TF31","CTRL","CTRL1","POST","TEERY","TEERY1",5
3,"TF31","CTRL","CTRL1","POST","CECIN","CECIN1",20
3,"TF31","CTRL","CTRL1","POST","TEERY","TEERY2",15
3,"TF31","CTRL","CTRL1","POST","PHHIS","PHHIS1",10
3,"TF31","CTRL","CTRL1","POST","DECER","DECER1",25
4,"TF30","MSFSOLO","HARU2","PRE","MYMYO","MYMYO1",20
4,"TF30","MSFSOLO","HARU2","PRE","PAHYP","PAHYP1",50
4,"TF30","MSFSOLO","HARU2","PRE","TRVIR","TRVIR1",80
4,"TF30","MSFSOLO","HARU2","PRE","CALEU","CALEU1",40
4,"TF30","MSFSOLO","HARU2","PRE","CYROT","CYROT1",40
4,"TF30","MSFSOLO","HARU2","PRE","MYMYO","MYMYO1",40
