"Trial","Point","Treatment","Exemplar","Stage","Spp","ID","Distance"
"1","VA2","NFSOLO","PLCO5","PRE","FOANA","FOANA1",30
"1","VA2","NFSOLO","PLCO5","PRE","HEGRI","HEGRI1",30
"1","VA2","NFSOLO","PLCO5","PRE","RHSIM","RHSIM1",30
"1","VA2","NFSOLO","PLCO5","PRE","UKCAN","UKCAN1",35
"1","VA2","NFSOLO","PLCO5","PRE","TRCOL","TRCOL1",45
"1","VA2","NFSOLO","PLCO5","PRE","TRCOL","TRCOL2",35
"1","VA2","NFSOLO","PLCO5","PRE","HEGRI","HEGRI2",50
"1","VA2","NFSOLO","PLCO5","PRE","FOANA","FOANA2",25
"1","VA2","NFSOLO","PLCO5","PRE","UKCAN","UKCAN2.1",50
"1","VA2","NFSOLO","PLCO5","PRE","FOANA","FOANA3",50
"1","VA2","NFSOLO","PLCO5","POST","TRCOL","TRCOL1",50
"1","VA2","NFSOLO","PLCO5","POST","CRCIN","CRCIN1",30
"1","VA2","NFSOLO","PLCO5","POST","RHSIM","RHSIM1",35
"1","VA2","NFSOLO","PLCO5","POST","FOANA","FOANA3",45
"1","VA2","NFSOLO","PLCO5","POST","UKCAN","UKCAN2.1",20
"1","VA2","NFSOLO","PLCO5","POST","PHHIS","PHHIS1",0
"1","VA2","NFSOLO","PLCO5","POST","FOANA","FOANA2",45
"1","VA2","NFSOLO","PLCO5","POST","CRCIN","CRCIN2",80
"1","VA2","NFSOLO","PLCO5","POST","UKCAN","UKCAN3",10
"1","VA2","NFSOLO","PLCO5","POST","UKCAN","UKCAN2.2",0
"10","VA22","CTRL","CTRL5","POST","CALEU","CALEU1",10
"10","VA22","CTRL","CTRL5","POST","CALEU","CALEU3",70
"10","VA22","CTRL","CTRL5","PRE","CALEU","CALEU2",12
"10","VA22","CTRL","CTRL5","POST","MYMEN","MYMEN1",60
"10","VA22","CTRL","CTRL5","PRE","CALEU","CALEU1",12
"10","VA22","CTRL","CTRL5","PRE","XIGUT","XIGUT1",50
"10","VA22","CTRL","CTRL5","POST","ATSPA","ATSPA1",50
"10","VA22","CTRL","CTRL5","POST","ISHAU","ISHAU1",60
"10","VA22","CTRL","CTRL5","PRE","PHPYR","PHPYR1",50
"10","VA22","CTRL","CTRL5","POST","THSCH","THSCH1",50
"10","VA22","CTRL","CTRL5","POST","TRCUR","TRCUR1",80
"10","VA22","CTRL","CTRL5","POST","CALEU","CALEU2",50
"10","VA22","CTRL","CTRL5","PRE","CALEU","CALEU3",70
"10","VA22","CTRL","CTRL5","PRE","ISHAU","ISHAU1",60
"10","VA22","CTRL","CTRL5","PRE","ATSPA","ATSPA1",50
"100","VA5","NFSOLO","HEGR5","POST","ATBOL","ATBOL1",20
"100","VA5","NFSOLO","HEGR5","PRE","MYMYO","MYMYO1",25
"100","VA5","NFSOLO","HEGR5","PRE","MYSCL","MYSCL1",35
"100","VA5","NFSOLO","HEGR5","POST","XIGUT","XIGUT1",30
"100","VA5","NFSOLO","HEGR5","PRE","TRMEL","TRMEL1",45
"100","VA5","NFSOLO","HEGR5","POST","ISHAU","ISHAU1",18
"100","VA5","NFSOLO","HEGR5","POST","UKCOL","UKCOL1.1",12
"100","VA5","NFSOLO","HEGR5","POST","MYMYO","MYMYO1",15
"100","VA5","NFSOLO","HEGR5","POST","PLCOR","PLCOR1",15
"100","VA5","NFSOLO","HEGR5","PRE","TACHI","TACHI1",10
"100","VA5","NFSOLO","HEGR5","POST","TRMEL","TRMEL1",45
"100","VA5","NFSOLO","HEGR5","PRE","FOANA","FOANA1",35
"100","VA5","NFSOLO","HEGR5","PRE","ATBOL","ATBOL1",25
"100","VA5","NFSOLO","HEGR5","POST","UKCOL","UKCOL1.2",12
"100","VA5","NFSOLO","HEGR5","POST","UK","UK1",20
"100","VA5","NFSOLO","HEGR5","PRE","TYSTO","TYSTO1",20
"100","VA5","NFSOLO","HEGR5","PRE","XIGUT","XIGUT1",25
"100","VA5","NFSOLO","HEGR5","POST","MYMYO","MYMYO1",30
"100","VA5","NFSOLO","HEGR5","PRE","DELON","DELON1",40
"100","VA5","NFSOLO","HEGR5","POST","DELON","DELON1",30
"101","VA31","MSFSOLO","MYLO5","PRE","MYHYP","MYHYP1",40
"101","VA31","MSFSOLO","MYLO5","PRE","UK","UK1",8
"101","VA31","MSFSOLO","MYLO5","POST","XIGUT","XIGUT1",30
"101","VA31","MSFSOLO","MYLO5","POST","PHNIG","PHNIG2",8
"101","VA31","MSFSOLO","MYLO5","POST","MYHYP","MYHYP2",40
"101","VA31","MSFSOLO","MYLO5","POST","PHNIG","PHNIG3",35
"101","VA31","MSFSOLO","MYLO5","PRE","MYHYP","MYHYP1",30
"101","VA31","MSFSOLO","MYLO5","POST","PHNIG","PHNIG1",8
"101","VA31","MSFSOLO","MYLO5","POST","XIGUT","XIGUT1",35
"101","VA31","MSFSOLO","MYLO5","PRE","UK","UK2",35
"101","VA31","MSFSOLO","MYLO5","POST","MYHYP","MYHYP1",30
"101","VA31","MSFSOLO","MYLO5","PRE","XIGUT","XIGUT1",35
"101","VA31","MSFSOLO","MYLO5","PRE","CALEU","CALEU1",40
"102","VA15","MSF","MSF5","PRE","FOANA","FOANA1",50
"102","VA15","MSF","MSF5","POST","UKCAN","UKCAN1",20
"102","VA15","MSF","MSF5","PRE","PAHYP","PAHYP1",65
"102","VA15","MSF","MSF5","PRE","FOANA","FOANA2",70
"102","VA15","MSF","MSF5","POST","LAHYP","LAHYP1",70
"102","VA15","MSF","MSF5","PRE","TRVIR","TRVIR1",40
"102","VA15","MSF","MSF5","PRE","UKCAN","UKCAN1",40
"102","VA15","MSF","MSF5","POST","PYSTE","PYSTE1",70
"102","VA15","MSF","MSF5","PRE","GLHAR","GLHAR1",45
