Spp,total_recruit,count,Maneuver
AKGOE,1,25,
ANNIG,0,8,
ANSTR,1,16,
ARTAC,0,16,
ATBOL,0,16,
ATSPA,1,17,
AUINF,0,32,
AUOCH,1,26,
BAMAR,5,19,
CAAUR,5,36,
CALEU,0,25,
CATUR,2,25,
CECIN,3,31,
CEELE,0,8,
CEFLA,0,8,
CEFUS,0,16,
CEGRA,0,17,
CESER,0,9,
CHPAR,0,8,
COPER,0,16,
COTOR,0,16,
CRCIN,0,8,
CRUND,0,18,
CYARA,0,8,
CYLIN,0,8,
CYROT,0,8,
CYSAN,0,8,
DECER,0,8,
DEFUL,0,8,
DELON,0,16,
DEMER,0,8,
DEPIC,0,8,
DERUF,0,25,
DRAFF,0,8,
DRLIN,0,16,
ELPLA,2,17,
EPHAE,0,17,
EPLEU,1,16,
EUHUM,0,16,
FLMEL,0,16,
FOANA,4,36,
FULEU,0,8,
GLHAR,1,16,
GLHIR,0,8,
GLSPI,0,8,
HAFOR,0,24,
HARUB,0,8,
HEFLA,0,8,
HEGRI,4,35,
HEIOH,0,16,
HYMAC,0,16,
HYSUB,0,8,
ISHAU,1,25,
JAAUR,0,8,
LAHYP,1,34,
LAVER,0,25,
LEAMA,0,9,
LECOR,1,33,
MASEM,0,8,
MECRU,0,8,
MEPIT,0,8,
MIMAR,0,9,
MOMOM,0,24,
MOMOR,0,18,
MONIG,0,25,
MYAXI,0,24,
MYBRA,1,28,
MYCAM,0,8,
MYECA,0,8,
MYGAI,6,27,
MYHYP,2,19,
MYLEU,0,16,
MYLON,0,16,
MYLOP,0,8,
MYLUT,0,8,
MYMEN,0,8,
MYMYO,4,56,
MYSCL,0,18,
NECIN,0,8,
NOHYP,0,8,
NYOBA,0,8,
ONSAL,0,32,
PAHYP,0,26,
PAMIN,0,9,
PAPOL,0,8,
PHGEN,0,24,
PHHIS,3,26,
PHNIG,2,24,
PHPAV,0,8,
PHPHI,0,8,
PHPYR,0,16,
PHRUB,0,8,
PICAY,0,16,
PICHL,1,16,
PIFAS,0,33,
PIFLA,0,8,
PIRUF,0,8,
PLCOR,0,24,
PLPLA,1,16,
PYSTE,0,25,
RACAR,0,8,
RARUF,0,16,
RHMEL,0,8,
RHOLI,0,16,
RHSIM,3,20,
SAGRO,0,8,
SAMAX,1,16,
SCCAU,0,8,
SCHEM,0,24,
SCMAJ,0,9,
SIALB,0,8,
SIGRI,0,25,
SYUCA,0,8,
TACHI,0,16,
TAMAJ,0,8,
TEERY,0,24,
THARD,0,16,
THSCH,5,35,
TOASS,0,26,
TOPOL,2,17,
TRCOL,1,36,
TRCUR,0,16,
TRMEL,0,25,
TRRAM,0,32,
TRVIR,0,24,
TULAW,0,16,
TYELA,0,16,
TYSTO,1,25,
VILEU,0,8,
WIPOE,2,25,
XEMIN,0,16,
XERUT,0,8,
XIELE,0,16,
XIGUT,4,28,
ZIGRA,0,16,
