Spp,Manuever ,Substrate
AKGOE,Perch-glean,Litter/Leaves
ANSTR,Glean,Leaves
ATSPA,Sally,Air/Leaves
AUINF,Glean,Dead Leaves
AUOCH,Glean,Dead Leaves
BAMAR,Sally-pounce,All
CAAUR,Glean,Fruit/Leaves
CALEU,Glean,Leaves
CATUR,Glean,Leaves
CECIN,Glean,Leaves
CEGRA,Probe,Trunk
CESER,Glean,Leaves
COTOR,Ground,Litter/Leaves
DRLIN,Probe,Trunk
ELPLA,Sally-pounce,All
EPLEU,Glean,Dead Leaves
FOANA,Ground,Litter/Leaves
GLHAR,Pounce,All?
HAFOR,Sally-pounce,Litter/Leaves
HEGRI,Sally ,Leaves
ISHAU,Ground,Litter/Leaves
JAAUR,Sally,Air
LAHYP,Sally-hover,Leaves
LAVER,Sally,Air
LEAMA,Sally,Leaves
LECOR,Sally-hover,Fruit
MECRU,Probe,Trunk
MOMOR,Sally,Air
MONIG,Sally,Air
MYBRA,Glean,Leaves
MYGAI,Sally-hover,Leaves
MYHYP,Ground,Litter/Leaves
MYMYO,Ground,Litter/Leaves
MYSCL,Glean,Leaves
PAHYP,Glean,Leaves
PHHIS,Hover,Flowers
PHNIG,Ground,Litter/Leaves
PICAY,Glean,All
PICHL,Glean,Leaves
PIFAS,Sally-hover,Fruit
PLPLA,Sally,Air/Leaves
PYSTE,Glean,Leaves
RHSIM,Sally-hover,Leaves
SAGRO,Sally,Air
SAMAX,Glean,Leaves
SCHEM,Glean,Leaves
SIGRI,Glean,Bark
THSCH,Glean,Leaves
TOPOL,Sally-hover,Leaves
TRCOL,Sally-hover,Fruit/Leaves
TRCUR,Sally-hover,Fruit/Leaves
TRMEL,Sally-hover,Fruit/Leaves
TRRAM,Sally-hover,Fruit/Leaves
TYSTO,Sally-hover,Fruit/Leaves
UK,NA,NA
UKCAN,NA,NA
UKCOL,NA,NA
WIPOE,Sally-pounce,Litter/Leaves
XIGUT,Glean,Bark
