"Trial","Point","Treatment","Tr.Type","Exemplar","Forest.type","R1.recruit","R1.spp.per.trial","R1.spp.rec.per.trial","R1.prop.rec","R2.spp.per.trial","R2.spp.rec.per.trial","R2.recruit","R2.prop.rec","Total.Recs","Total.spp.trial","Total.spp.rec.trial","Total.prop.rec","Tr.prop","log.Recs"
1,"TF1","MSF","MSF","MSF5","TF",4,6,4,0.666666666666667,8,1,3,0.125,7,14,5,0.357142857142857,0.357142857142857,0.903089986991944
2,"TF32","NF","NF","NF3","TF",1,3,1,0.333333333333333,6,1,1,0.166666666666667,2,9,2,0.222222222222222,0.222222222222222,0.477121254719662
3,"TF31","CTRL","CTRL","CTRL1","TF",3,5,3,0.6,6,1,2,0.166666666666667,5,11,4,0.363636363636364,0.363636363636364,0.778151250383644
4,"TF30","MSFSOLO","HARU","HARU2","TF",2,4,2,0.5,9,1,1,0.111111111111111,3,13,3,0.230769230769231,0.230769230769231,0.602059991327962
5,"TF4","NFSOLO","PLCO","PLCO5","TF",2,7,2,0.285714285714286,7,1,2,0.142857142857143,4,14,3,0.214285714285714,0.214285714285714,0.698970004336019
6,"TF3","NFSOLO","HEGR","HEGR4","TF",1,3,1,0.333333333333333,8,0,0,0,1,11,1,0.0909090909090909,0.0909090909090909,0.301029995663981
7,"TF2","MSF","MSF","MSF1","TF",4,6,4,0.666666666666667,7,0,0,0,4,13,4,0.307692307692308,0.307692307692308,0.698970004336019
8,"TF8","MSFSOLO","TUOC","TUOC3","TF",1,4,1,0.25,7,0,0,0,1,11,1,0.0909090909090909,0.0909090909090909,0.301029995663981
9,"TF11","NF","NF","NF1","TF",1,3,1,0.333333333333333,7,0,0,0,1,10,1,0.1,0.1,0.301029995663981
10,"TF13","CTRL","CTRL","CTRL5","TF",0,1,0,0,5,1,1,0.2,1,6,1,0.166666666666667,0.166666666666667,0.301029995663981
11,"TF14","MSF","MSF","MSF2","TF",2,3,2,0.666666666666667,10,0,0,0,2,13,2,0.153846153846154,0.153846153846154,0.477121254719662
13,"TF29","MSFSOLO","MYLO","MYLO1","TF",5,10,5,0.5,15,3,3,0.2,8,25,8,0.32,0.32,0.954242509439325
14,"TF27","NF","NF","NF2","TF",4,5,4,0.8,11,2,2,0.181818181818182,6,16,6,0.375,0.375,0.845098040014257
15,"TF28","NFSOLO","LAHY","LAHY7","TF",0,3,0,0,9,0,0,0,0,12,0,0,1e-14,0
