Spp,total_recruit,count,Maneuver
AKGOE,1,25,Perch-glean
ANNIG,0,8,Hover
ANSTR,1,17,Glean
ARTAC,0,16,Ground
ATBOL,0,16,Sally-hover
ATSPA,0,19,Sally
AUINF,2,35,Glean
AUOCH,0,24,Glean
BAMAR,0,17,Sally-pounce
CAAUR,2,38,Glean
CALEU,2,25,Glean
CATUR,0,25,Glean
CECIN,4,28,Glean
CEELE,0,8,Glean
CEFLA,0,8,Probe
CEFUS,0,16,Perch-glean
CEGRA,1,17,Probe
CESER,1,9,Glean
CHPAR,0,8,Sally
COPER,0,16,Ground
COTOR,1,17,Ground
CRCIN,0,8,Ground
CRUND,0,16,Ground
CYARA,0,8,Ground
CYLIN,0,8,Perch-glean
CYROT,0,8,Glean
CYSAN,0,8,Perch-glean
DECER,0,8,Sally-glean
DEFUL,0,8,Sally-glean
DELON,0,18,Glean
DEMER,0,8,Sally-pounce
DEPIC,0,8,Glean
DERUF,0,24,Glean
DRAFF,0,8,Probe
DRLIN,1,16,Probe
ELPLA,0,16,Sally-pounce
EPHAE,0,16,Glean
EPLEU,1,16,Glean
EUHUM,0,16,Perch-glean
FLMEL,0,16,Hover
FOANA,2,36,Ground
FULEU,0,8,Ground
GLHAR,2,18,Pounce
GLHIR,0,8,Hover
GLSPI,0,8,Glean
HAFOR,1,24,Sally-pounce
HARUB,0,9,Perch-glean
HEFLA,0,8,Sally-hover
HEGRI,1,34,Sally
HEIOH,0,16,Glean
HYMAC,0,16,Ground
HYSUB,0,8,Glean
ISHAU,2,24,Ground
JAAUR,1,8,Sally
LAHYP,0,33,Sally-hover
LAVER,1,24,Sally
LEAMA,1,8,Sally
LECOR,1,33,Sally-hover
MASEM,0,8,Dive-pounce
MECRU,1,8,Probe
MEPIT,0,8,Sally-glean
MIMAR,0,8,Ground
MOMOM,0,24,Sally-pounce
MOMOR,2,16,Sally
MONIG,1,24,Sally
MYAXI,0,24,Glean
MYBRA,4,25,Glean
MYCAM,0,8,Ground
MYECA,0,8,Pounce
MYGAI,0,28,Sally-hover
MYHYP,2,17,Ground
MYLEU,0,17,Sally-pounce
MYLON,0,16,Glean
MYLOP,0,8,Perch-glean
MYLUT,0,8,Sally-glean
MYMEN,0,8,Glean
MYMYO,1,50,Ground
MYSCL,1,17,Glean
NECIN,0,8,Sally
NOHYP,0,8,Dive-pounce
NYOBA,0,8,Dive-pounce
ONSAL,0,32,Sally-pounce
PAHYP,2,28,Glean
PAMIN,0,8,Sally-glean
PAPOL,0,8,Sally-glean
PHGEN,0,25,Glean
PHHIS,0,25,Hover
PHNIG,0,24,Ground
PHPAV,0,8,Sally-hover
PHPHI,0,8,Hover
PHPYR,0,16,Glean
PHRUB,0,8,Hover
PICAY,1,16,Glean
PICHL,2,18,Glean
PIFAS,3,36,Sally-hover
PIFLA,0,8,Probe
PIRUF,0,8,Probe
PLCOR,0,24,Sally-glean
PLPLA,1,16,Sally
PYSTE,3,25,Glean
RACAR,0,8,Sally-glean
RARUF,0,17,Sally-glean
RHMEL,0,8,Sally-pounce
RHOLI,0,16,Sally-hover
RHSIM,1,18,Sally-hover
SAGRO,1,8,Sally
SAMAX,0,16,Glean
SCCAU,0,8,Ground
SCHEM,1,26,Glean
SCMAJ,0,8,Sally-hover
SIALB,0,8,Hover-glean
SIGRI,4,27,Glean
SYUCA,0,8,Glean
TACHI,0,16,Glean
TAMAJ,0,8,Glean
TEERY,0,24,Sally
THARD,0,16,Sally
THSCH,0,33,Glean
TOASS,0,25,Hover-glean
TOPOL,0,17,Sally-hover
TRCOL,5,37,Sally-hover
TRCUR,1,17,Sally-hover
TRMEL,1,26,Sally-hover
TRRAM,2,33,Sally-hover
TRVIR,0,28,Sally-hover
TULAW,0,16,Glean-pounce
TYELA,0,16,Perch-glean
TYSTO,0,25,Sally-hover
VILEU,0,8,Glean
WIPOE,0,24,Sally-pounce
XEMIN,0,16,Probe
XERUT,0,8,Glean
XIELE,0,16,Glean
XIGUT,2,31,Glean
ZIGRA,0,18,Perch-glean
