"Trial","Point","Treatment","Tr.Type","Exemplar","Forest.type","Spp","ID","Pre.Dist","Post.Dist","R2.recruit","Net.Dist"
1,"TF1","MSF","MSF","MSF5","TF","MYLOP","MYLOP1",30,30,0,0
1,"TF1","MSF","MSF","MSF5","TF","MYMYO","MYMYO1",35,30,1,5
1,"TF1","MSF","MSF","MSF5","TF","MYMYO","MYMYO2",35,30,1,5
1,"TF1","MSF","MSF","MSF5","TF","MYMYO","MYMYO3",30,20,1,10
1,"TF1","MSF","MSF","MSF5","TF","UKCAN1","UKCAN1",20,20,0,0
2,"TF32","NF","NF","NF3","TF","MYGAI","MYGAI1",30,20,1,10
3,"TF31","CTRL","CTRL","CTRL1","TF","TEERY","TEERY1",20,5,1,15
3,"TF31","CTRL","CTRL","CTRL1","TF","TEERY","TEERY2",20,15,1,5
4,"TF30","MSFSOLO","HARU","HARU2","TF","CALEU","CALEU1",40,15,1,25
4,"TF30","MSFSOLO","HARU","HARU2","TF","MYMYO","MYMYO1",40,40,0,0
4,"TF30","MSFSOLO","HARU","HARU2","TF","MYMYO","MYMYO1",20,40,0,-20
4,"TF30","MSFSOLO","HARU","HARU2","TF","MYMYO","MYMYO2",40,40,0,0
4,"TF30","MSFSOLO","HARU","HARU2","TF","PHHIS","PHHIS1",0,0,0,0
5,"TF4","NFSOLO","PLCO","PLCO5","TF","CECIN","CECIN1",30,15,1,15
5,"TF4","NFSOLO","PLCO","PLCO5","TF","CECIN","CECIN2",20,15,1,5
5,"TF4","NFSOLO","PLCO","PLCO5","TF","FOANA","FOANA1",15,15,0,0
5,"TF4","NFSOLO","PLCO","PLCO5","TF","LECOR","LECOR1",15,15,0,0
6,"TF3","NFSOLO","HEGR","HEGR4","TF","HEGRI","HEGRI1",0,0,0,0
8,"TF8","MSFSOLO","TUOC","TUOC3","TF","CECIN","CECIN1",20,20,0,0
8,"TF8","MSFSOLO","TUOC","TUOC3","TF","CECIN","CECIN2",20,20,0,0
8,"TF8","MSFSOLO","TUOC","TUOC3","TF","HEGRI","HEGRI1",15,15,0,0
8,"TF8","MSFSOLO","TUOC","TUOC3","TF","RHSIM","RHSIM1",80,80,0,0
9,"TF11","NF","NF","NF1","TF","CECIN","CECIN1",15,15,0,0
9,"TF11","NF","NF","NF1","TF","ELPLA","ELPLA1",70,70,0,0
9,"TF11","NF","NF","NF1","TF","ELPLA","ELPLA2",70,70,0,0
10,"TF13","CTRL","CTRL","CTRL5","TF","MYMYO","MYMYO1",50,50,0,0
10,"TF13","CTRL","CTRL","CTRL5","TF","RHSIM","RHSIM1",80,70,1,10
11,"TF14","MSF","MSF","MSF2","TF","HEGRI","HEGRI1",30,30,0,0
12,"TF15","CTRL","CTRL","CTRL4","TF","LAHYP","LAHYP1",60,60,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","CECIN","CECIN1",15,15,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","CECIN","CECIN2",15,15,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","LEAMA","LEAMA1",15,15,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","MYGAI","MYGAI1",10,5,1,5
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","MYMYO","MYMYO1",50,50,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","MYMYO","MYMYO2",50,50,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","PAMIN","PAMIN1",10,10,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","RHSIM","RHSIM1",50,40,1,10
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","TRMEL","TRMEL1",50,50,0,0
13,"TF29","MSFSOLO","MYLO","MYLO1","TF","WIPOE","WIPOE1",20,10,1,10
14,"TF27","NF","NF","NF2","TF","AKGOE","AKGOE1",30,30,0,0
14,"TF27","NF","NF","NF2","TF","HAFOR","HAFOR1",50,20,1,30
14,"TF27","NF","NF","NF2","TF","MONIG","MONIG1",50,50,0,0
14,"TF27","NF","NF","NF2","TF","MYMYO","MYMYO1",50,40,1,10
14,"TF27","NF","NF","NF2","TF","MYMYO","MYMYO2",40,40,0,0
15,"TF28","NFSOLO","LAHY","LAHY7","TF","CECIN","CECIN1",30,30,0,0
15,"TF28","NFSOLO","LAHY","LAHY7","TF","CECIN","CECIN2",30,30,0,0
15,"TF28","NFSOLO","LAHY","LAHY7","TF","CYLIN","CYLIN1",60,60,0,0
15,"TF28","NFSOLO","LAHY","LAHY7","TF","MYMYO","MYMYO1",20,20,0,0
15,"TF28","NFSOLO","LAHY","LAHY7","TF","MYMYO","MYMYO2",20,20,0,0
15,"TF28","NFSOLO","LAHY","LAHY7","TF","THSCH","THSCH1",20,30,0,-10
16,"TF21","NF","NF","NF5","TF","CYLIN","CYLIN1",40,40,0,0
16,"TF21","NF","NF","NF5","TF","PLPLA","PLPLA1",10,10,0,0
16,"TF21","NF","NF","NF5","TF","SCHEM","SCHEM1",40,70,0,-30
17,"TF20","MSFSOLO","MYSC","MYSC8","TF","THSCH","THSCH1",20,20,0,0
17,"TF20","MSFSOLO","MYSC","MYSC8","TF","THSCH","THSCH2",20,20,0,0
17,"TF20","MSFSOLO","MYSC","MYSC8","TF","THSCH","THSCH3",20,30,0,-10
17,"TF20","MSFSOLO","MYSC","MYSC8","TF","TRCUR","TRCUR1",20,20,0,0
18,"TF19","NFSOLO","LECO","LECO2","TF","CATUR","CATUR1",20,30,0,-10
18,"TF19","NFSOLO","LECO","LECO2","TF","CATUR","CATUR1",20,100,0,-80
18,"TF19","NFSOLO","LECO","LECO2","TF","ELPLA","ELPLA1",10,10,0,0
18,"TF19","NFSOLO","LECO","LECO2","TF","HEGRI","HEGRI1",30,15,1,15
18,"TF19","NFSOLO","LECO","LECO2","TF","LAHYP","LAHYP1",80,70,1,10
18,"TF19","NFSOLO","LECO","LECO2","TF","MYMYO","MYMYO1",60,20,1,40
18,"TF19","NFSOLO","LECO","LECO2","TF","MYMYO","MYMYO2",60,15,1,45
18,"TF19","NFSOLO","LECO","LECO2","TF","VILEU","VILEU1",60,60,0,0
19,"TF9","CTRL","CTRL","CTRL3","TF","CECIN","CECIN1",60,50,1,10
