"Trial","Point","Treatment","Tr.Type","Exemplar","Forest.type","Spp","ID","Pre.Dist","Post.Dist","R2.recruit","Net.Dist"
1,"VA2","NFSOLO","PLCO","PLCO5","VA","FOANA","FOANA2",25,45,0,-20
1,"VA2","NFSOLO","PLCO","PLCO5","VA","FOANA","FOANA3",50,45,1,5
1,"VA2","NFSOLO","PLCO","PLCO5","VA","RHSIM","RHSIM1",30,35,0,-5
1,"VA2","NFSOLO","PLCO","PLCO5","VA","TRCOL","TRCOL1",45,50,0,-5
1,"VA2","NFSOLO","PLCO","PLCO5","VA","UKCAN2","UKCAN2.1",50,20,1,30
2,"VA3","MSF","MSF","MSF5","VA","CRCIN","CRCIN1",35,20,1,15
2,"VA3","MSF","MSF","MSF5","VA","GLSPI","GLSPI1",45,45,0,0
2,"VA3","MSF","MSF","MSF5","VA","PAHYP","PAHYP1",45,20,1,25
2,"VA3","MSF","MSF","MSF5","VA","PHHIS","PHHIS1",10,45,0,-35
2,"VA3","MSF","MSF","MSF5","VA","PHHIS","PHHIS1",50,45,1,5
2,"VA3","MSF","MSF","MSF5","VA","PIFAU","PIFAU1",25,40,0,-15
2,"VA3","MSF","MSF","MSF5","VA","TRMEL","TRMEL1",50,40,1,10
3,"VA20","MSFSOLO","HARU","HARU2","VA","TRCOL","TRCOL1",50,30,1,20
3,"VA20","MSFSOLO","HARU","HARU2","VA","UKCAN1","UKCAN1",35,10,1,25
3,"VA20","MSFSOLO","HARU","HARU2","VA","UKCOL1","UKCOL1",10,10,0,0
5,"VA19","CTRL","CTRL","CTRL1","VA","LAVER","LAVER1",40,40,0,0
5,"VA19","CTRL","CTRL","CTRL1","VA","MYBRA","MYBRA1",20,30,0,-10
5,"VA19","CTRL","CTRL","CTRL1","VA","PAHYP","PAHYP1",40,40,0,0
5,"VA19","CTRL","CTRL","CTRL1","VA","SAMAX","SAMAX1",30,30,0,0
5,"VA19","CTRL","CTRL","CTRL1","VA","TRVIR","TRVIR1",80,70,1,10
6,"VA18","NFSOLO","HEGR","HEGR4","VA","TRCOL","TRCOL1",30,40,0,-10
6,"VA18","NFSOLO","HEGR","HEGR4","VA","TRCOL","TRCOL1",45,40,1,5
6,"VA18","NFSOLO","HEGR","HEGR4","VA","TRVIR","TRVIR1",60,80,0,-20
7,"VA17","MSF","MSF","MSF1","VA","CALEU","CALEU1",70,60,1,10
7,"VA17","MSF","MSF","MSF1","VA","PHHIS","PHHIS1",0,10,0,-10
7,"VA17","MSF","MSF","MSF1","VA","TRMEL","TRMEL1",50,60,0,-10
7,"VA17","MSF","MSF","MSF1","VA","TULAW","TULAW1",60,50,1,10
8,"VA16","MSFSOLO","TUOC","TUOC3","VA","CEELE","CEELE1",20,20,0,0
8,"VA16","MSFSOLO","TUOC","TUOC3","VA","LAHYP","LAHYP1",35,30,1,5
8,"VA16","MSFSOLO","TUOC","TUOC3","VA","RHSIM","RHSIM1",15,15,0,0
9,"VA15","NF","NF","NF1","VA","THSCH","THSCH1",40,40,0,0
9,"VA15","NF","NF","NF1","VA","TRCOL","TRCOL1",60,70,0,-10
10,"VA22","CTRL","CTRL","CTRL5","VA","ATSPA","ATSPA1",50,50,0,0
10,"VA22","CTRL","CTRL","CTRL5","VA","CALEU","CALEU1",12,10,1,2
10,"VA22","CTRL","CTRL","CTRL5","VA","CALEU","CALEU2",12,50,0,-38
10,"VA22","CTRL","CTRL","CTRL5","VA","CALEU","CALEU3",70,70,0,0
10,"VA22","CTRL","CTRL","CTRL5","VA","ISHAU","ISHAU1",60,60,0,0
11,"VA24","MSF","MSF","MSF2","VA","FOANA","FOANA1",60,40,1,20
11,"VA24","MSF","MSF","MSF2","VA","MYAXI","MYAXI1",20,15,1,5
11,"VA24","MSF","MSF","MSF2","VA","TRCUR","TRCUR1",50,60,0,-10
12,"VA26","CTRL","CTRL","CTRL4","VA","CYARA","CYARA1",30,30,0,0
12,"VA26","CTRL","CTRL","CTRL4","VA","MONIG","MONIG1",30,30,0,0
12,"VA26","CTRL","CTRL","CTRL4","VA","MONIG","MONIG2",30,30,0,0
12,"VA26","CTRL","CTRL","CTRL4","VA","PAHYP","PAHYP1",50,20,1,30
12,"VA26","CTRL","CTRL","CTRL4","VA","PYSTE","PYSTE1",30,30,0,0
12,"VA26","CTRL","CTRL","CTRL4","VA","THSCH","THSCH1",30,20,1,10
12,"VA26","CTRL","CTRL","CTRL4","VA","TRCOL","TRCOL1",20,20,0,0
12,"VA26","CTRL","CTRL","CTRL4","VA","XIGUT","XIGUT1",15,30,0,-15
14,"VA25","NF","NF","NF2","VA","MYBRA","MYBRA1",35,45,0,-10
14,"VA25","NF","NF","NF2","VA","PAHYP","PAHYP1",45,40,1,5
15,"VA28","NFSOLO","LAHY","LAHY7","VA","CECIN","CECIN1",20,40,0,-20
15,"VA28","NFSOLO","LAHY","LAHY7","VA","TRCUR","TRCUR1",60,60,0,0
15,"VA28","NFSOLO","LAHY","LAHY7","VA","TRCUR","TRCUR2",60,60,0,0
16,"VA29","NF","NF","NF5","VA","CALEU","CALEU1",15,15,0,0
16,"VA29","NF","NF","NF5","VA","CALEU","CALEU1",60,15,1,45
16,"VA29","NF","NF","NF5","VA","FOANA","FOANA1",25,60,0,-35
17,"VA7","MSF","MSF","MSF4","VA","FOANA","FOANA1",50,60,0,-10
17,"VA7","MSF","MSF","MSF4","VA","HEGRI","HEGRI1",30,30,0,0
17,"VA7","MSF","MSF","MSF4","VA","MYMYO","MYMYO1",50,30,1,20
17,"VA7","MSF","MSF","MSF4","VA","MYMYO","MYMYO2",50,30,1,20
17,"VA7","MSF","MSF","MSF4","VA","ONSAL","ONSAL1",40,20,1,20
17,"VA7","MSF","MSF","MSF4","VA","ONSAL","ONSAL2",40,20,1,20
17,"VA7","MSF","MSF","MSF4","VA","PAHYP","PAHYP1",30,30,0,0
18,"VA8","MSFSOLO","MYSC","MYSC8","VA","DELON","DELON1",35,40,0,-5
18,"VA8","MSFSOLO","MYSC","MYSC8","VA","FOANA","FOANA1",30,40,0,-10
18,"VA8","MSFSOLO","MYSC","MYSC8","VA","MYBRA","MYBRA1",30,30,0,0
18,"VA8","MSFSOLO","MYSC","MYSC8","VA","NYOBA","NYOBA1",30,40,0,-10
18,"VA8","MSFSOLO","MYSC","MYSC8","VA","PLCOR","PLCOR1",20,15,1,5
18,"VA8","MSFSOLO","MYSC","MYSC8","VA","TRMEL","TRMEL1",30,30,0,0
19,"VA9","NFSOLO","LECO","LECO2","VA","CALEU","CALEU1",50,50,0,0
19,"VA9","NFSOLO","LECO","LECO2","VA","COTOR","COTOR1",50,50,0,0
19,"VA9","NFSOLO","LECO","LECO2","VA","CRUND","CRUND1",20,30,0,-10
19,"VA9","NFSOLO","LECO","LECO2","VA","FOANA","FOANA1",50,50,0,0
19,"VA9","NFSOLO","LECO","LECO2","VA","TRCUR","TRCUR2",80,80,0,0
20,"VA10","CTRL","VA","VA3","VA","CALEU","CALEU1",50,50,0,0
20,"VA10","CTRL","VA","VA3","VA","COTOR","COTOR1",50,50,0,0
20,"VA10","CTRL","VA","VA3","VA","PAHYP","PAHYP1",40,50,0,-10
21,"VA3","CTRL","CTRL","CTRL2","VA","PIFAS","PIFAS1",20,20,0,0
21,"VA3","CTRL","CTRL","CTRL2","VA","TRMEL","TRMEL1",80,80,0,0
22,"VA29","MSF","MSF","MSF3","VA","ATBOL","ATBOL1",65,60,1,5
22,"VA29","MSF","MSF","MSF3","VA","CALEU","CALEU1",35,45,0,-10
22,"VA29","MSF","MSF","MSF3","VA","CYSAN","CYSAN1",45,45,0,0
22,"VA29","MSF","MSF","MSF3","VA","FOANA","FOANA1",70,65,1,5
22,"VA29","MSF","MSF","MSF3","VA","PHPYR","PHPYR1",30,5,1,25
22,"VA29","MSF","MSF","MSF3","VA","PHPYR","PHPYR2",30,5,1,25
22,"VA29","MSF","MSF","MSF3","VA","SCMAJ","SCMAJ1",45,50,0,-5
23,"VA28","MSFSOLO","THAR","THAR7","VA","CECIN","CECIN1",40,30,1,10
23,"VA28","MSFSOLO","THAR","THAR7","VA","FOANA","FOANA1",55,50,1,5
23,"VA28","MSFSOLO","THAR","THAR7","VA","PICHL","PICHL1",40,30,1,10
23,"VA28","MSFSOLO","THAR","THAR7","VA","PIFAS","PIFAS1",15,25,0,-10
23,"VA28","MSFSOLO","THAR","THAR7","VA","PIFAS","PIFAS2",30,30,0,0
23,"VA28","MSFSOLO","THAR","THAR7","VA","PIFAS","PIFAS3",40,30,1,10
23,"VA28","MSFSOLO","THAR","THAR7","VA","RHSIM","RHSIM1",30,20,1,10
23,"VA28","MSFSOLO","THAR","THAR7","VA","TRVIR","TRVIR1",45,45,0,0
23,"VA28","MSFSOLO","THAR","THAR7","VA","UK1","UK1",30,30,0,0
